movie_title,director_name,language,country,genres,actor_1_name,actor_2_name,actor_3_name,comb
the firm,Sydney Pollack,English,USA,Drama Mystery Thriller,Tom Cruise,Holly Hunter,Wilford Brimley,Sydney Pollack English USA Drama Mystery Thriller Tom Cruise Holly Hunter Wilford Brimley
charlie st. cloud,Burr Steers,English,USA,Drama Fantasy Romance,Augustus Prew,Charlie Tahan,Valerie Tian,Burr Steers English USA Drama Fantasy Romance Augustus Prew Charlie Tahan Valerie Tian
the mechanic,Simon West,English,USA,Action Crime Thriller,Jason Statham,Tony Goldwyn,Mini Anden,Simon West English USA Action Crime Thriller Jason Statham Tony Goldwyn Mini Anden
21 jump street,Phil Lord,English,USA,Action Comedy Crime,Channing Tatum,Dax Flame,Rob Riggle,Phil Lord English USA Action Comedy Crime Channing Tatum Dax Flame Rob Riggle
notting hill,Roger Michell,English,UK,Comedy Drama Romance,Julia Roberts,Clarke Peters,Dylan Moran,Roger Michell English UK Comedy Drama Romance Julia Roberts Clarke Peters Dylan Moran
chicken run,Peter Lord,English,UK,Adventure Animation Comedy Drama Family,Imelda Staunton,Miranda Richardson,Julia Sawalha,Peter Lord English UK Adventure Animation Comedy Drama Family Imelda Staunton Miranda Richardson Julia Sawalha
along came polly,John Hamburg,English,USA,Comedy Romance,Philip Seymour Hoffman,Masi Oka,Debra Messing,John Hamburg English USA Comedy Romance Philip Seymour Hoffman Masi Oka Debra Messing
boomerang,Reginald Hudlin,English,USA,Comedy Drama Romance,John Witherspoon,Eartha Kitt,Geoffrey Holder,Reginald Hudlin English USA Comedy Drama Romance John Witherspoon Eartha Kitt Geoffrey Holder
the heat,Paul Feig,English,USA,Action Comedy Crime,Michael Rapaport,William Xifaras,Demián Bichir,Paul Feig English USA Action Comedy Crime Michael Rapaport William Xifaras Demián Bichir
cleopatra,Joseph L. Mankiewicz,English,UK,Biography Drama History Romance,Martin Landau,Richard Burton,Roddy McDowall,Joseph L. Mankiewicz English UK Biography Drama History Romance Martin Landau Richard Burton Roddy McDowall
here comes the boom,Frank Coraci,English,USA,Action Comedy Sport,Salma Hayek,Reggie Lee,Charice,Frank Coraci English USA Action Comedy Sport Salma Hayek Reggie Lee Charice
high crimes,Carl Franklin,English,USA,Crime Drama Mystery Thriller,Morgan Freeman,Adam Scott,Bruce Davison,Carl Franklin English USA Crime Drama Mystery Thriller Morgan Freeman Adam Scott Bruce Davison
the mirror has two faces,Barbra Streisand,English,USA,Comedy Drama Romance,Jeff Bridges,Austin Pendleton,Mimi Rogers,Barbra Streisand English USA Comedy Drama Romance Jeff Bridges Austin Pendleton Mimi Rogers
the mothman prophecies,Mark Pellington,English,USA,Drama Horror Mystery Thriller,Debra Messing,Will Patton,David Eigenberg,Mark Pellington English USA Drama Horror Mystery Thriller Debra Messing Will Patton David Eigenberg
brüno,Larry Charles,English,USA,Comedy,Bono,Elton John,Slash,Larry Charles English USA Comedy Bono Elton John Slash
licence to kill,John Glen,English,UK,Action Adventure Thriller,Robert Davi,Talisa Soto,Anthony Zerbe,John Glen English UK Action Adventure Thriller Robert Davi Talisa Soto Anthony Zerbe
red riding hood,Catherine Hardwicke,English,USA,Fantasy Horror Mystery Thriller,Gary Oldman,Billy Burke,Virginia Madsen,Catherine Hardwicke English USA Fantasy Horror Mystery Thriller Gary Oldman Billy Burke Virginia Madsen
15 minutes,John Herzfeld,English,USA,Action Crime Drama Thriller,Robert De Niro,Charlize Theron,Kelsey Grammer,John Herzfeld English USA Action Crime Drama Thriller Robert De Niro Charlize Theron Kelsey Grammer
super mario bros.,Annabel Jankel,English,UK,Adventure Comedy Family Fantasy Sci-Fi,Bob Hoskins,Fisher Stevens,Fiona Shaw,Annabel Jankel English UK Adventure Comedy Family Fantasy Sci-Fi Bob Hoskins Fisher Stevens Fiona Shaw
lord of war,Andrew Niccol,English,USA,Crime Drama Thriller,Nicolas Cage,Jeremy Crutchley,Jared Burke,Andrew Niccol English USA Crime Drama Thriller Nicolas Cage Jeremy Crutchley Jared Burke
hero,Yimou Zhang,Mandarin,China,Action Adventure History,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Yimou Zhang Mandarin China Action Adventure History Jet Li Tony Chiu Wai Leung Maggie Cheung
one for the money,Julie Anne Robinson,English,USA,Action Comedy Crime Romance Thriller,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Julie Anne Robinson English USA Action Comedy Crime Romance Thriller Fisher Stevens Debbie Reynolds Patrick Fischler
the interview,Evan Goldberg,English,USA,Comedy,James Franco,Randall Park,Anders Holm,Evan Goldberg English USA Comedy James Franco Randall Park Anders Holm
the warrior's way,Sngmoo Lee,English,New Zealand,Action Fantasy Western,Tony Cox,Dong-gun Jang,Jed Brophy,Sngmoo Lee English New Zealand Action Fantasy Western Tony Cox Dong-gun Jang Jed Brophy
mchale's navy            ,unknown,English,USA,Comedy War,Tim Conway,Gavin MacLeod,Bob Hastings,unknown English USA Comedy War Tim Conway Gavin MacLeod Bob Hastings
micmacs,Jean-Pierre Jeunet,French,France,Action Comedy Crime,Omar Sy,Dany Boon,André Dussollier,Jean-Pierre Jeunet French France Action Comedy Crime Omar Sy Dany Boon André Dussollier
8 mile,Curtis Hanson,English,USA,Drama Music,Mekhi Phifer,Omar Benson Miller,Evan Jones,Curtis Hanson English USA Drama Music Mekhi Phifer Omar Benson Miller Evan Jones
animal kingdom: let's go ape,Jamel Debbouze,French,France,Adventure Animation Comedy Family,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Jamel Debbouze French France Adventure Animation Comedy Family Jamel Debbouze Youssef Hajdi Mélissa Theuriau
a knight's tale,Brian Helgeland,English,USA,Action Adventure Romance,Heath Ledger,Rufus Sewell,Bérénice Bejo,Brian Helgeland English USA Action Adventure Romance Heath Ledger Rufus Sewell Bérénice Bejo
the medallion,Gordon Chan,English,Hong Kong,Action Comedy Fantasy,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Gordon Chan English Hong Kong Action Comedy Fantasy Julian Sands Lee Evans Anthony Chau-Sang Wong
the sixth sense,M. Night Shyamalan,English,USA,Drama Mystery Thriller,Bruce Willis,Haley Joel Osment,Olivia Williams,M. Night Shyamalan English USA Drama Mystery Thriller Bruce Willis Haley Joel Osment Olivia Williams
man on a ledge,Asger Leth,English,USA,Action Crime Thriller,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Asger Leth English USA Action Crime Thriller Robert Clohessy Mandy Gonzalez J. Smith-Cameron
the big year,David Frankel,English,USA,Comedy,Joel McHale,Kevin Pollak,JoBeth Williams,David Frankel English USA Comedy Joel McHale Kevin Pollak JoBeth Williams
the karate kid,John G. Avildsen,English,USA,Action Drama Family Sport,Martin Kove,William Zabka,William Bassett,John G. Avildsen English USA Action Drama Family Sport Martin Kove William Zabka William Bassett
american hustle,David O. Russell,English,USA,Crime Drama,Jennifer Lawrence,Christian Bale,Bradley Cooper,David O. Russell English USA Crime Drama Jennifer Lawrence Christian Bale Bradley Cooper
the proposal,Anne Fletcher,English,USA,Comedy Drama Romance,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Anne Fletcher English USA Comedy Drama Romance Ryan Reynolds Denis O'Hare Craig T. Nelson
double jeopardy,Bruce Beresford,English,USA,Crime Mystery Thriller,Bruce Greenwood,Annabeth Gish,Bruce Campbell,Bruce Beresford English USA Crime Mystery Thriller Bruce Greenwood Annabeth Gish Bruce Campbell
back to the future part ii,Robert Zemeckis,English,USA,Adventure Comedy Sci-Fi,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis English USA Adventure Comedy Sci-Fi Lea Thompson Jeffrey Weissman Thomas F. Wilson
lucy,Luc Besson,English,France,Action Sci-Fi Thriller,Scarlett Johansson,Morgan Freeman,Amr Waked,Luc Besson English France Action Sci-Fi Thriller Scarlett Johansson Morgan Freeman Amr Waked
fifty shades of grey,Sam Taylor-Johnson,English,USA,Drama Romance,Jennifer Ehle,Luke Grimes,Callum Rennie,Sam Taylor-Johnson English USA Drama Romance Jennifer Ehle Luke Grimes Callum Rennie
spy kids 3-d: game over,Robert Rodriguez,English,USA,Action Adventure Comedy Family Sci-Fi,Sylvester Stallone,Salma Hayek,Alexa PenaVega,Robert Rodriguez English USA Action Adventure Comedy Family Sci-Fi Sylvester Stallone Salma Hayek Alexa PenaVega
a time to kill,Joel Schumacher,English,USA,Crime Drama Thriller,Kevin Spacey,Matthew McConaughey,Oliver Platt,Joel Schumacher English USA Crime Drama Thriller Kevin Spacey Matthew McConaughey Oliver Platt
cheaper by the dozen,Shawn Levy,English,USA,Comedy Family,Tom Welling,Alyson Stoner,Bonnie Hunt,Shawn Levy English USA Comedy Family Tom Welling Alyson Stoner Bonnie Hunt
lone survivor,Peter Berg,English,USA,Action Biography Drama Thriller War,Jerry Ferrara,Scott Elrod,Dan Bilzerian,Peter Berg English USA Action Biography Drama Thriller War Jerry Ferrara Scott Elrod Dan Bilzerian
a league of their own,Penny Marshall,English,USA,Comedy Drama Sport,Tom Hanks,Lori Petty,Rosie O'Donnell,Penny Marshall English USA Comedy Drama Sport Tom Hanks Lori Petty Rosie O'Donnell
the conjuring 2,James Wan,English,USA,Horror Mystery Thriller,Javier Botet,Frances O'Connor,Robin Atkin Downes,James Wan English USA Horror Mystery Thriller Javier Botet Frances O'Connor Robin Atkin Downes
the social network,David Fincher,English,USA,Biography Drama,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,David Fincher English USA Biography Drama Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope
he's just not that into you,Ken Kwapis,English,USA,Comedy Drama Romance,Carmen Perez,Sabrina Revelle,Sachiko Ishida,Ken Kwapis English USA Comedy Drama Romance Carmen Perez Sabrina Revelle Sachiko Ishida
scary movie 4,David Zucker,English,USA,Comedy,Beau Mirchoff,Carmen Electra,Regina Hall,David Zucker English USA Comedy Beau Mirchoff Carmen Electra Regina Hall
scream 3,Wes Craven,English,USA,Horror Mystery,Kelly Rutherford,Roger Jackson,Nancy O'Dell,Wes Craven English USA Horror Mystery Kelly Rutherford Roger Jackson Nancy O'Dell
back to the future part iii,Robert Zemeckis,English,USA,Adventure Comedy Sci-Fi Western,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis English USA Adventure Comedy Sci-Fi Western Lea Thompson Jeffrey Weissman Thomas F. Wilson
get hard,Etan Cohen,English,USA,Comedy Crime,Will Ferrell,Alison Brie,Craig T. Nelson,Etan Cohen English USA Comedy Crime Will Ferrell Alison Brie Craig T. Nelson
bram stoker's dracula,Francis Ford Coppola,English,USA,Fantasy Horror Romance,Keanu Reeves,Anthony Hopkins,Gary Oldman,Francis Ford Coppola English USA Fantasy Horror Romance Keanu Reeves Anthony Hopkins Gary Oldman
julie & julia,Nora Ephron,English,USA,Biography Drama Romance,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito,Nora Ephron English USA Biography Drama Romance Meryl Streep Mary Lynn Rajskub Vanessa Ferlito
42,Brian Helgeland,English,USA,Biography Drama Sport,Harrison Ford,Christopher Meloni,Nicole Beharie,Brian Helgeland English USA Biography Drama Sport Harrison Ford Christopher Meloni Nicole Beharie
the talented mr. ripley,Anthony Minghella,English,USA,Crime Drama Thriller,Philip Seymour Hoffman,Matt Damon,Jack Davenport,Anthony Minghella English USA Crime Drama Thriller Philip Seymour Hoffman Matt Damon Jack Davenport
dumb and dumber to,Bobby Farrelly,English,USA,Comedy,Bill Murray,Kathleen Turner,Rob Riggle,Bobby Farrelly English USA Comedy Bill Murray Kathleen Turner Rob Riggle
eight below,Frank Marshall,English,USA,Adventure Drama Family,Paul Walker,Bruce Greenwood,Wendy Crewson,Frank Marshall English USA Adventure Drama Family Paul Walker Bruce Greenwood Wendy Crewson
the intern,Nancy Meyers,English,USA,Comedy Drama,Robert De Niro,Anne Hathaway,Rene Russo,Nancy Meyers English USA Comedy Drama Robert De Niro Anne Hathaway Rene Russo
ride along 2,Tim Story,English,USA,Action Comedy,Olivia Munn,Nadine Velazquez,Bruce McGill,Tim Story English USA Action Comedy Olivia Munn Nadine Velazquez Bruce McGill
the last of the mohicans,Michael Mann,English,USA,Action Adventure Drama Romance War,Wes Studi,Terry Kinney,Eric Schweig,Michael Mann English USA Action Adventure Drama Romance War Wes Studi Terry Kinney Eric Schweig
ray,Taylor Hackford,English,USA,Biography Drama Music,Bokeem Woodbine,Curtis Armstrong,Harry Lennix,Taylor Hackford English USA Biography Drama Music Bokeem Woodbine Curtis Armstrong Harry Lennix
sin city,Frank Miller,English,USA,Crime Thriller,Rosario Dawson,Powers Boothe,Jason Douglas,Frank Miller English USA Crime Thriller Rosario Dawson Powers Boothe Jason Douglas
vantage point,Pete Travis,English,USA,Crime Drama Mystery Thriller,Dennis Quaid,Edgar Ramírez,William Hurt,Pete Travis English USA Crime Drama Mystery Thriller Dennis Quaid Edgar Ramírez William Hurt
"i love you, man",John Hamburg,English,USA,Comedy Romance,J.K. Simmons,Jon Favreau,Jane Curtin,John Hamburg English USA Comedy Romance J.K. Simmons Jon Favreau Jane Curtin
shallow hal,Bobby Farrelly,English,USA,Comedy Drama Fantasy Romance,Jason Alexander,Bruce McGill,Susan Ward,Bobby Farrelly English USA Comedy Drama Fantasy Romance Jason Alexander Bruce McGill Susan Ward
jfk,Oliver Stone,English,France,Drama History Thriller,Sally Kirkland,Jay O. Sanders,Cheryl Penland,Oliver Stone English France Drama History Thriller Sally Kirkland Jay O. Sanders Cheryl Penland
big momma's house 2,John Whitesell,English,USA,Comedy Crime,Chloë Grace Moretz,Nia Long,Marisol Nichols,John Whitesell English USA Comedy Crime Chloë Grace Moretz Nia Long Marisol Nichols
the mexican,Gore Verbinski,English,USA,Adventure Comedy Crime Romance,J.K. Simmons,Brad Pitt,Julia Roberts,Gore Verbinski English USA Adventure Comedy Crime Romance J.K. Simmons Brad Pitt Julia Roberts
unbroken,Angelina Jolie Pitt,English,USA,Biography Drama Sport War,Finn Wittrock,Jack O'Connell,Alex Russell,Angelina Jolie Pitt English USA Biography Drama Sport War Finn Wittrock Jack O'Connell Alex Russell
17 again,Burr Steers,English,USA,Comedy Drama Family Fantasy Romance,Matthew Perry,Hunter Parrish,Thomas Lennon,Burr Steers English USA Comedy Drama Family Fantasy Romance Matthew Perry Hunter Parrish Thomas Lennon
the other woman,Nick Cassavetes,English,USA,Comedy Romance,Don Johnson,Kate Upton,David Thornton,Nick Cassavetes English USA Comedy Romance Don Johnson Kate Upton David Thornton
the final destination,David R. Ellis,English,USA,Horror,Krista Allen,Andrew Fiscella,Shantel VanSanten,David R. Ellis English USA Horror Krista Allen Andrew Fiscella Shantel VanSanten
bridge of spies,Steven Spielberg,English,USA,Drama History Thriller,Tom Hanks,Mark Rylance,Amy Ryan,Steven Spielberg English USA Drama History Thriller Tom Hanks Mark Rylance Amy Ryan
behind enemy lines,John Moore,English,USA,Action Drama Thriller War,Joaquim de Almeida,David Keith,Sam Jaeger,John Moore English USA Action Drama Thriller War Joaquim de Almeida David Keith Sam Jaeger
get him to the greek,Nicholas Stoller,English,USA,Comedy Music,Pink,Mario Lopez,Lino Facioli,Nicholas Stoller English USA Comedy Music Pink Mario Lopez Lino Facioli
shall we dance,Peter Chelsom,English,USA,Comedy Drama Romance,Lisa Ann Walter,Nick Cannon,Omar Benson Miller,Peter Chelsom English USA Comedy Drama Romance Lisa Ann Walter Nick Cannon Omar Benson Miller
small soldiers,Joe Dante,English,USA,Action Adventure Comedy Family Sci-Fi,Kirsten Dunst,Denis Leary,Robert Picardo,Joe Dante English USA Action Adventure Comedy Family Sci-Fi Kirsten Dunst Denis Leary Robert Picardo
spawn,Mark A.Z. Dippé,English,USA,Action Horror,Michael Jai White,Frank Welker,Miko Hughes,Mark A.Z. Dippé English USA Action Horror Michael Jai White Frank Welker Miko Hughes
the count of monte cristo,Kevin Reynolds,English,UK,Action Adventure Drama Romance Thriller,Henry Cavill,James Frain,Michael Wincott,Kevin Reynolds English UK Action Adventure Drama Romance Thriller Henry Cavill James Frain Michael Wincott
the lincoln lawyer,Brad Furman,English,USA,Crime Drama Thriller,Matthew McConaughey,Margarita Levieva,Frances Fisher,Brad Furman English USA Crime Drama Thriller Matthew McConaughey Margarita Levieva Frances Fisher
unknown,Jaume Collet-Serra,English,UK,Action Mystery Thriller,Liam Neeson,Frank Langella,Aidan Quinn,Jaume Collet-Serra English UK Action Mystery Thriller Liam Neeson Frank Langella Aidan Quinn
the prestige,Christopher Nolan,English,USA,Drama Mystery Sci-Fi Thriller,Christian Bale,Hugh Jackman,Scarlett Johansson,Christopher Nolan English USA Drama Mystery Sci-Fi Thriller Christian Bale Hugh Jackman Scarlett Johansson
horrible bosses 2,Sean Anders,English,USA,Comedy Crime,Kevin Spacey,Christoph Waltz,Lindsay Sloane,Sean Anders English USA Comedy Crime Kevin Spacey Christoph Waltz Lindsay Sloane
escape from planet earth,Cal Brunker,English,USA,Adventure Animation Comedy Family Sci-Fi,Brendan Fraser,Paul Scheer,Jonathan Morgan Heit,Cal Brunker English USA Adventure Animation Comedy Family Sci-Fi Brendan Fraser Paul Scheer Jonathan Morgan Heit
apocalypto,Mel Gibson,Maya,USA,Action Adventure Drama Thriller,Rudy Youngblood,Dalia Hernández,Jonathan Brewer,Mel Gibson Maya USA Action Adventure Drama Thriller Rudy Youngblood Dalia Hernández Jonathan Brewer
the living daylights,John Glen,English,UK,Action Adventure Thriller,Joe Don Baker,Desmond Llewelyn,Art Malik,John Glen English UK Action Adventure Thriller Joe Don Baker Desmond Llewelyn Art Malik
predators,Nimród Antal,English,USA,Action Adventure Sci-Fi Thriller,Topher Grace,Alice Braga,Derek Mears,Nimród Antal English USA Action Adventure Sci-Fi Thriller Topher Grace Alice Braga Derek Mears
legal eagles,Ivan Reitman,English,USA,Comedy Crime Romance,Brian Dennehy,Debra Winger,Roscoe Lee Browne,Ivan Reitman English USA Comedy Crime Romance Brian Dennehy Debra Winger Roscoe Lee Browne
secret window,David Koepp,English,USA,Mystery Thriller,Johnny Depp,Charles S. Dutton,Timothy Hutton,David Koepp English USA Mystery Thriller Johnny Depp Charles S. Dutton Timothy Hutton
the lake house,Alejandro Agresti,English,USA,Drama Fantasy Romance,Keanu Reeves,Dylan Walsh,Ebon Moss-Bachrach,Alejandro Agresti English USA Drama Fantasy Romance Keanu Reeves Dylan Walsh Ebon Moss-Bachrach
the skeleton key,Iain Softley,English,USA,Horror Mystery Thriller,Gena Rowlands,Deneen Tyler,Joy Bryant,Iain Softley English USA Horror Mystery Thriller Gena Rowlands Deneen Tyler Joy Bryant
the odd life of timothy green,Peter Hedges,English,USA,Comedy Drama Family Fantasy,Jennifer Garner,Odeya Rush,Common,Peter Hedges English USA Comedy Drama Family Fantasy Jennifer Garner Odeya Rush Common
made of honor,Paul Weiland,English,USA,Comedy Romance,Busy Philipps,Beau Garrett,Kevin Sussman,Paul Weiland English USA Comedy Romance Busy Philipps Beau Garrett Kevin Sussman
jersey boys,Clint Eastwood,English,USA,Biography Drama Music Musical,Johnny Cannizzaro,Steve Schirripa,Scott Vance,Clint Eastwood English USA Biography Drama Music Musical Johnny Cannizzaro Steve Schirripa Scott Vance
the rainmaker,Francis Ford Coppola,English,USA,Crime Drama Thriller,Matt Damon,Dean Stockwell,Virginia Madsen,Francis Ford Coppola English USA Crime Drama Thriller Matt Damon Dean Stockwell Virginia Madsen
gothika,Mathieu Kassovitz,English,USA,Horror Mystery Thriller,Robert Downey Jr.,Charles S. Dutton,Bernard Hill,Mathieu Kassovitz English USA Horror Mystery Thriller Robert Downey Jr. Charles S. Dutton Bernard Hill
amistad,Steven Spielberg,English,USA,Drama History,Anthony Hopkins,Morgan Freeman,Matthew McConaughey,Steven Spielberg English USA Drama History Anthony Hopkins Morgan Freeman Matthew McConaughey
medicine man,John McTiernan,English,USA,Adventure Drama Romance,Lorraine Bracco,José Wilker,Sean Connery,John McTiernan English USA Adventure Drama Romance Lorraine Bracco José Wilker Sean Connery
aliens vs. predator: requiem,Colin Strause,English,USA,Action Horror Sci-Fi Thriller,Sam Trammell,Johnny Lewis,Ian Whyte,Colin Strause English USA Action Horror Sci-Fi Thriller Sam Trammell Johnny Lewis Ian Whyte
ri¢hie ri¢h,Donald Petrie,English,USA,Comedy Family,Macaulay Culkin,John Larroquette,Jonathan Hyde,Donald Petrie English USA Comedy Family Macaulay Culkin John Larroquette Jonathan Hyde
autumn in new york,Joan Chen,English,USA,Drama Romance,J.K. Simmons,Sam Trammell,Elaine Stritch,Joan Chen English USA Drama Romance J.K. Simmons Sam Trammell Elaine Stritch
music and lyrics,Marc Lawrence,English,USA,Comedy Music Romance,Brad Garrett,Scott Porter,Haley Bennett,Marc Lawrence English USA Comedy Music Romance Brad Garrett Scott Porter Haley Bennett
paul,Greg Mottola,English,USA,Adventure Comedy Sci-Fi,Bobby Lee,Nelson Ascencio,Jeremy Owen,Greg Mottola English USA Adventure Comedy Sci-Fi Bobby Lee Nelson Ascencio Jeremy Owen
the guilt trip,Anne Fletcher,English,USA,Comedy Drama,Miriam Margolyes,Tom Virtue,Julene Renee,Anne Fletcher English USA Comedy Drama Miriam Margolyes Tom Virtue Julene Renee
scream 4,Wes Craven,English,USA,Horror Mystery,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech,Wes Craven English USA Horror Mystery Alison Brie Aimee Teegarden Shenae Grimes-Beech
8mm,Joel Schumacher,English,Germany,Mystery Thriller,Nicolas Cage,Chris Bauer,Anthony Heald,Joel Schumacher English Germany Mystery Thriller Nicolas Cage Chris Bauer Anthony Heald
the doors,Oliver Stone,English,USA,Biography Drama Music Musical,Michael Wincott,Kevin Dillon,Kathleen Quinlan,Oliver Stone English USA Biography Drama Music Musical Michael Wincott Kevin Dillon Kathleen Quinlan
sex tape,Jake Kasdan,English,USA,Comedy,James Wilcox,Randall Park,Nat Faxon,Jake Kasdan English USA Comedy James Wilcox Randall Park Nat Faxon
hanging up,Diane Keaton,English,Germany,Comedy Drama,Adam Arkin,Celia Weston,Jesse James,Diane Keaton English Germany Comedy Drama Adam Arkin Celia Weston Jesse James
final destination 5,Steven Quale,English,USA,Horror,Emma Bell,Jacqueline MacInnes Wood,Courtney B. Vance,Steven Quale English USA Horror Emma Bell Jacqueline MacInnes Wood Courtney B. Vance
mickey blue eyes,Kelly Makin,English,UK,Comedy Crime Romance,Jeanne Tripplehorn,Burt Young,Vincent Pastore,Kelly Makin English UK Comedy Crime Romance Jeanne Tripplehorn Burt Young Vincent Pastore
pay it forward,Mimi Leder,English,USA,Drama,Kevin Spacey,Haley Joel Osment,Angie Dickinson,Mimi Leder English USA Drama Kevin Spacey Haley Joel Osment Angie Dickinson
fever pitch,Bobby Farrelly,English,USA,Comedy Drama Romance Sport,Jimmy Fallon,KaDee Strickland,Ione Skye,Bobby Farrelly English USA Comedy Drama Romance Sport Jimmy Fallon KaDee Strickland Ione Skye
arthur            ,unknown,English,Canada,Animation Comedy Family,Bruce Dinsmore,Melissa Altro,Daniel Brochu,unknown English Canada Animation Comedy Family Bruce Dinsmore Melissa Altro Daniel Brochu
drillbit taylor,Steven Brill,English,USA,Comedy Drama,Lisa Ann Walter,Shaun Weiss,Matt Walsh,Steven Brill English USA Comedy Drama Lisa Ann Walter Shaun Weiss Matt Walsh
a million ways to die in the west,Seth MacFarlane,English,USA,Comedy Western,Liam Neeson,Charlize Theron,Seth MacFarlane,Seth MacFarlane English USA Comedy Western Liam Neeson Charlize Theron Seth MacFarlane
the shadow,Russell Mulcahy,English,USA,Action Adventure Crime Fantasy Mystery Thriller,Jonathan Winters,Peter Boyle,John Kapelos,Russell Mulcahy English USA Action Adventure Crime Fantasy Mystery Thriller Jonathan Winters Peter Boyle John Kapelos
extremely loud & incredibly close,Stephen Daldry,English,USA,Adventure Drama Mystery,Tom Hanks,Thomas Horn,Stephen Henderson,Stephen Daldry English USA Adventure Drama Mystery Tom Hanks Thomas Horn Stephen Henderson
morning glory,Roger Michell,English,USA,Comedy Drama Romance,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga,Roger Michell English USA Comedy Drama Romance Noah Bean Patti D'Arbanville Vanessa Aspillaga
get rich or die tryin',Jim Sheridan,English,USA,Biography Crime Drama Music,50 Cent,Bill Duke,Marc John Jefferies,Jim Sheridan English USA Biography Crime Drama Music 50 Cent Bill Duke Marc John Jefferies
the art of war,Christian Duguay,English,USA,Action Adventure Crime Thriller,Michael Biehn,Cary-Hiroyuki Tagawa,Anne Archer,Christian Duguay English USA Action Adventure Crime Thriller Michael Biehn Cary-Hiroyuki Tagawa Anne Archer
rent,Chris Columbus,English,USA,Drama Musical Romance,Rosario Dawson,David Fine,Jesse L. Martin,Chris Columbus English USA Drama Musical Romance Rosario Dawson David Fine Jesse L. Martin
bless the child,Chuck Russell,English,USA,Crime Drama Horror Thriller,Rufus Sewell,Jimmy Smits,Angela Bettis,Chuck Russell English USA Crime Drama Horror Thriller Rufus Sewell Jimmy Smits Angela Bettis
the out-of-towners,Sam Weisman,English,USA,Comedy,Oliver Hudson,Valerie Perri,Carlease Burke,Sam Weisman English USA Comedy Oliver Hudson Valerie Perri Carlease Burke
the island of dr. moreau,John Frankenheimer,English,USA,Horror Sci-Fi Thriller,Marlon Brando,Temuera Morrison,Marco Hofschneider,John Frankenheimer English USA Horror Sci-Fi Thriller Marlon Brando Temuera Morrison Marco Hofschneider
the musketeer,Peter Hyams,English,Germany,Action Adventure Romance,Catherine Deneuve,Justin Chambers,Stephen Rea,Peter Hyams English Germany Action Adventure Romance Catherine Deneuve Justin Chambers Stephen Rea
the other boleyn girl,Justin Chadwick,English,UK,Biography Drama History Romance,Natalie Portman,Scarlett Johansson,Benedict Cumberbatch,Justin Chadwick English UK Biography Drama History Romance Natalie Portman Scarlett Johansson Benedict Cumberbatch
sweet november,Pat O'Connor,English,USA,Drama Romance,Keanu Reeves,Charlize Theron,Frank Langella,Pat O'Connor English USA Drama Romance Keanu Reeves Charlize Theron Frank Langella
the reaping,Stephen Hopkins,English,USA,Horror Thriller,Stephen Rea,Andrea Frankle,William Ragsdale,Stephen Hopkins English USA Horror Thriller Stephen Rea Andrea Frankle William Ragsdale
mean streets,Martin Scorsese,English,USA,Crime Drama Romance Thriller,Robert De Niro,David Carradine,David Proval,Martin Scorsese English USA Crime Drama Romance Thriller Robert De Niro David Carradine David Proval
renaissance man,Penny Marshall,English,USA,Comedy Drama,Ed Begley Jr.,Cliff Robertson,Lillo Brancato,Penny Marshall English USA Comedy Drama Ed Begley Jr. Cliff Robertson Lillo Brancato
colombiana,Olivier Megaton,English,France,Action Crime Drama Thriller,Jordi Mollà,Callum Blue,Jesse Borrego,Olivier Megaton English France Action Crime Drama Thriller Jordi Mollà Callum Blue Jesse Borrego
the magic sword: quest for camelot,Frederik Du Chau,English,USA,Adventure Animation Comedy Drama Family Fantasy Musical,Gary Oldman,Jaleel White,Eric Idle,Frederik Du Chau English USA Adventure Animation Comedy Drama Family Fantasy Musical Gary Oldman Jaleel White Eric Idle
city by the sea,Michael Caton-Jones,English,USA,Crime Drama Mystery Thriller,Robert De Niro,James Franco,John Doman,Michael Caton-Jones English USA Crime Drama Mystery Thriller Robert De Niro James Franco John Doman
at first sight,Irwin Winkler,English,USA,Drama Romance,Mira Sorvino,Nathan Lane,Steven Weber,Irwin Winkler English USA Drama Romance Mira Sorvino Nathan Lane Steven Weber
torque,Joseph Kahn,English,USA,Action Comedy Crime,Dane Cook,Jay Hernandez,Christina Milian,Joseph Kahn English USA Action Comedy Crime Dane Cook Jay Hernandez Christina Milian
city hall,Harold Becker,English,USA,Drama Thriller,Al Pacino,Martin Landau,Bridget Fonda,Harold Becker English USA Drama Thriller Al Pacino Martin Landau Bridget Fonda
